DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,HU,2020,115.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,HU,2021,91.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IE,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IE,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IS,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IT,2020,1663.483,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IT,2021,1914.088,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,LT,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,LT,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,LU,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,LU,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,LV,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,LV,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,MD,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,ME,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,MK,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,MT,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,MT,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,NL,2020,2480.455,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,NL,2021,2764.229,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,NO,2020,137.260,
